Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0007160,cell-matrix adhesion,19_GO:0009987 cellular process,-2.2,8.2,4.4,30284,137,81,3,3.7,2.1,780|4811|5879,DDR1|NID1|RAC1,-0.35,Down
GO Biological Processes,19,GO:0019221,cytokine-mediated signaling pathway,19_GO:0050896 response to stimulus,-2.2,4.3,3.6,30284,431,81,5,6.2,2.7,81|780|5034|7114|79168,ACTN4|DDR1|P4HB|TMSB4X|LILRA6,-0.34,Down
GO Biological Processes,19,GO:0008037,cell recognition,19_GO:0009987 cellular process,-2.2,8.1,4.3,30284,138,81,3,3.7,2.1,226|351|4478,ALDOA|APP|MSN,-0.34,Down
GO Biological Processes,19,GO:0008360,regulation of cell shape,19_GO:0032502 developmental process,-2.2,8.1,4.3,30284,139,81,3,3.7,2.1,226|4478|5879,ALDOA|MSN|RAC1,-0.33,Down
GO Biological Processes,19,GO:0006520,amino acid metabolic process,19_GO:0009987 cellular process,-2.2,5.5,3.8,30284,273,81,4,4.9,2.4,95|2875|3035|5034,ACY1|GPT|HARS1|P4HB,-0.33,Down
GO Biological Processes,19,GO:0007015,actin filament organization,19_GO:0009987 cellular process,-2.2,5.4,3.8,30284,278,81,4,4.9,2.4,226|5879|7114|7184,ALDOA|RAC1|TMSB4X|HSP90B1,-0.31,Down
GO Biological Processes,19,GO:0051896,regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,19_GO:0050896 response to stimulus,-2.2,5.4,3.8,30284,278,81,4,4.9,2.4,351|780|1950|6403,APP|DDR1|EGF|SELP,-0.31,Down
GO Biological Processes,19,GO:0050727,regulation of inflammatory response,19_GO:0050896 response to stimulus,-2.2,4.2,3.5,30284,442,81,5,6.2,2.7,351|5682|5687|5692|7114,APP|PSMA1|PSMA6|PSMB4|TMSB4X,-0.31,Down
Reactome Gene Sets,6,R-HSA-1474165,Reproduction,,-2.2,7.8,4.2,30284,143,81,3,3.7,2.1,4000|9985|257062,LMNA|REC8|CATSPERD,-0.31,Down
WikiPathways,27,WP2853,Endoderm differentiation,,-2.2,7.8,4.2,30284,144,81,3,3.7,2.1,351|4830|131405,APP|NME1|TRIM71,-0.3,Down
Reactome Gene Sets,6,R-HSA-1474244,Extracellular matrix organization,,-2.2,5.3,3.8,30284,281,81,4,4.9,2.4,823|4811|5034|6678,CAPN1|NID1|P4HB|SPARC,-0.3,Down
GO Biological Processes,19,GO:0009896,positive regulation of catabolic process,19_GO:0048518 positive regulation of biological process,-2.2,3.6,3.4,30284,631,81,6,7.4,2.9,351|1950|4478|7415|10133|131405,APP|EGF|MSN|VCP|OPTN|TRIM71,-0.3,Down
GO Biological Processes,19,GO:0050921,positive regulation of chemotaxis,19_GO:0040011 locomotion,-2.1,7.7,4.2,30284,146,81,3,3.7,2.1,351|5879|7114,APP|RAC1|TMSB4X,-0.29,Down
GO Biological Processes,19,GO:0032984,protein-containing complex disassembly,19_GO:0009987 cellular process,-2.1,7.5,4.1,30284,149,81,3,3.7,2.1,3312|7415|8775,HSPA8|VCP|NAPA,-0.27,Down
GO Biological Processes,19,GO:0051701,biological process involved in interaction with host,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.1,7.4,4.1,30284,151,81,3,3.7,2.1,2060|3921|90861,EPS15|RPSA|JPT2,-0.25,Down
GO Biological Processes,19,GO:0030177,positive regulation of Wnt signaling pathway,19_GO:0048518 positive regulation of biological process,-2.1,7.4,4.1,30284,152,81,3,3.7,2.1,1950|7415|8932,EGF|VCP|MBD2,-0.25,Down
GO Biological Processes,19,GO:0002687,positive regulation of leukocyte migration,19_GO:0040011 locomotion,-2.1,7.4,4.1,30284,152,81,3,3.7,2.1,351|5879|6403,APP|RAC1|SELP,-0.25,Down
GO Biological Processes,19,GO:0120035,regulation of plasma membrane bounded cell projection organization,19_GO:0050789 regulation of biological process,-2.1,3.5,3.3,30284,650,81,6,7.4,2.9,351|780|2665|5879|8724|26153,APP|DDR1|GDI2|RAC1|SNX3|KIF26A,-0.25,Down
