Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0031346,positive regulation of cell projection organization,19_GO:0048518 positive regulation of biological process,-4.1,4.1,5.1,30284,360,225,11,4.9,1.4,998|2316|3655|4067|5216|7429|8536|10096|23011|51517|57175,CDC42|FLNA|ITGA6|LYN|PFN1|VIL1|CAMK1|ACTR3|RAB21|NCKIPSD|CORO1B,-2.2,down
GO Biological Processes,19,GO:0044092,negative regulation of molecular function,19_GO:0065007 biological regulation,-4.1,3.2,4.8,30284,634,225,15,6.7,1.7,1845|2316|2950|3690|4067|4659|5345|5899|6717|8536|9446|9647|10399|51719|55832,DUSP3|FLNA|GSTP1|ITGB3|LYN|PPP1R12A|SERPINF2|RALB|SRI|CAMK1|GSTO1|PPM1F|RACK1|CAB39|CAND1,-2.2,down
Reactome Gene Sets,6,R-HSA-109581,Apoptosis,,-4.1,8.3,6.3,30284,97,225,6,2.7,1.1,5700|5701|7531|7533|7534|10059,PSMC1|PSMC2|YWHAE|YWHAH|YWHAZ|DNM1L,-2.2,down
GO Biological Processes,19,GO:0030010,establishment of cell polarity,19_GO:0009987 cellular process,-4.1,6.7,5.9,30284,140,225,7,3.1,1.2,998|4478|4627|6469|10890|22919|55968,CDC42|MSN|MYH9|SHH|RAB10|MAPRE1|NSFL1C,-2.2,down
GO Biological Processes,19,GO:0045937,positive regulation of phosphate metabolic process,19_GO:0048518 positive regulation of biological process,-4,3.5,4.9,30284,493,225,13,5.8,1.6,1950|2023|3655|3690|3937|4067|5515|5899|7295|8536|10399|11315|51719,EGF|ENO1|ITGA6|ITGB3|LCP2|LYN|PPP2CA|RALB|TXN|CAMK1|RACK1|PARK7|CAB39,-2.2,down
GO Biological Processes,19,GO:0010562,positive regulation of phosphorus metabolic process,19_GO:0048518 positive regulation of biological process,-4,3.5,4.9,30284,493,225,13,5.8,1.6,1950|2023|3655|3690|3937|4067|5515|5899|7295|8536|10399|11315|51719,EGF|ENO1|ITGA6|ITGB3|LCP2|LYN|PPP2CA|RALB|TXN|CAMK1|RACK1|PARK7|CAB39,-2.2,down
GO Biological Processes,19,GO:2001234,negative regulation of apoptotic signaling pathway,19_GO:0048519 negative regulation of biological process,-4,5,5.4,30284,243,225,9,4,1.3,637|2023|2876|2950|3303|3655|10131|10399|11315,BID|ENO1|GPX1|GSTP1|HSPA1A|ITGA6|TRAP1|RACK1|PARK7,-2.2,down
KEGG Pathway,24,hsa04151,PI3K-Akt signaling pathway,,-4,4.1,5.1,30284,362,225,11,4.9,1.4,1950|1975|2782|3326|3655|3674|3690|5515|7531|7533|7534,EGF|EIF4B|GNB1|HSP90AB1|ITGA6|ITGA2B|ITGB3|PPP2CA|YWHAE|YWHAH|YWHAZ,-2.2,down
WikiPathways,27,WP2884,NRF2 pathway,,-4,6.7,5.9,30284,141,225,7,3.1,1.2,873|2495|2950|3303|3326|5226|7295,CBR1|FTH1|GSTP1|HSPA1A|HSP90AB1|PGD|TXN,-2.2,down
Reactome Gene Sets,6,R-HSA-446728,Cell junction organization,,-4,8.2,6.2,30284,98,225,6,2.7,1.1,2318|3611|3655|6251|7122|50848,FLNC|ILK|ITGA6|RSU1|CLDN5|F11R,-2.2,down
